repo,Country,Postal Code,State,University,altfooter,audience,auto-migrated,city,code_repositories,country,currency,dates,displaytext,download_links,headerimage,lang,layout,leaders,leaders_list,level,license,maintenance,meeting-plaform,meeting-platform,meetup,meetup group,meetup-group,order,permalink,pitch,postal-code,pricing,project,project_classification,redirect_from,ref,region,sidebar_type,site_side,social_facebook,social_linkedin,social_meetup,social_twitter,social_youtube,spnews,state,tabtext,tag,tags,title,type,url,video1,video2
OWASP/www-chapter-tripoli,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-cape-town,,,,,,,,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,✔,✔,✔,,,,,✔,✔,,,,
OWASP/www-chapter-albuquerque,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-kuwait-city,,,,,,,,,,✔,✔,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,✔,,✔,✔,✔,✔,,,,,✔,✔,,,,
OWASP/www-chapter-mysuru,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-st.-cloud-state-university,,,,,,✔,,,,,,,,✔,,,✔,,,✔,,,,,,,,,,,,,,✔,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-las-vegas,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-bikaner,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-jkpg,,,,,✔,,,,,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,✔,,,
OWASP/www-chapter-kharkiv,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-meerut,,,,,,,,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,✔,,,✔,✔,,,✔,,,,,✔,✔,,,,
OWASP/www-chapter-edmonton,,,,,✔,,,,,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,✔,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-buenos-aires,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-montreal,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,,,,,✔,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-ottawa,,,,,,,,,,✔,✔,,,,,,✔,,✔,✔,,,,,,,✔,,,✔,✔,,,,,,✔,,✔,,,,,,,✔,,,✔,✔,,,,
OWASP/www-chapter-toronto,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,✔,,,,,,,,✔,✔,,,,
OWASP/www-chapter-vancouver,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-riviera-maya,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,,,,,,,✔,,,✔,,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-quebec-city,,,,,,,,,,✔,,,✔,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,✔,✔,,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-mexicali,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-trinidad-and-tobago,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-patagonia,,,,,,,,,,,,,,,,,✔,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-aguascalientes,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-belo-horizonte,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-bogota,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-bolivia,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-brasilia,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,✔,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-costa-rica,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-cuiaba,,,,,,,,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-chile,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-guatemala,,,,,,,,,,✔,,,,,,,✔,,,,,,,,✔,,✔,,,,,,,,,,✔,,,✔,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-natal,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-mexico-city,,,,,✔,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,✔,✔,,✔,✔,✔,,,,,✔,✔,,,,
OWASP/www-chapter-panama-city,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,,,,,✔,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-lima,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,✔,,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-rio-de-janeiro,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,,,,,,,,,,,✔,,,,✔,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-recife,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-sao-paulo,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-uruguay,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,,,,,,,✔,,,,✔,✔,✔,✔,,,,,✔,✔,,,,
OWASP/www-chapter-venezuela,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-vitoria,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-asuncion,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,,,,,,,✔,,,✔,✔,✔,,✔,,,,,✔,✔,,,,
OWASP/www-chapter-el-salvador,,,,,,,,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-cali,,,,,,,✔,,,,,,,,,,✔,,✔,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-dominican-republic,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-medellin,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-gwalior,,,,,✔,,,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,,,,,,,✔,,✔,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-kyushu,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-okinawa,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,,,,,✔,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-hokushinetsu,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-china-mainland,,,,,✔,,,,,✔,,,,,,,✔,,✔,✔,,,,✔,,,✔,,,,,,,,,,✔,,✔,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-hong-kong,,,,,,,,,✔,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-japan,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-malaysia,,,,,,,✔,,,✔,,,,,,,✔,,,✔,,,,,,,,,,,✔,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-kolkata,,,,,,,,,,✔,✔,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,✔,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-nepal,,,,,,,,,✔,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,,,,,,,✔,,✔,✔,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-thailand,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-indore,,,,,,,✔,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-sendai,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,✔,,,,,,,,,,,,,✔,,,,,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-fukushima,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,✔,,,,,,,,,,,,,✔,,,,,,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-singapore,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,,✔,,,,
OWASP/www-chapter-jakarta,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-kansai,,,,,,,,,,✔,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-da-nang,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-natori,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-bhopal,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-tulsa,,,,,,,,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,✔,,,,,,,,✔,,,,
OWASP/www-chapter-bilbao,,,,,,,✔,,,✔,✔,,,,,,✔,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-madurai,,,,,,,,,,,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-port-louis,,,,,,,✔,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-dindigul,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,✔,✔,✔,,✔,,,,,✔,✔,,,,
OWASP/www-chapter-lincoln,,,,,,,✔,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-copenhagen,,,,,,✔,,,✔,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,✔,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-santa-barbara,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,✔,,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-seattle,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-sioux-falls,,,,,,,✔,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-south-florida,,,,,,,,,,✔,✔,,,,,,✔,,✔,,,,,,,,✔,,,,✔,,,,,,✔,,✔,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-tampa,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,✔,✔,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-northern-virginia,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-hampton-roads,,,,,,,✔,,,✔,,,,,,,✔,,,✔,,,,,,,,,,,✔,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-oklahoma-city,,,,,,,✔,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,,,,,,,,,✔,,,,
OWASP/www-chapter-northeastern-university,,,,,,✔,,,,,,,,✔,,,✔,,,✔,,,,,,,,,,,,,,✔,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-washington-dc,,,,,,,,,✔,✔,✔,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,✔,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-chattanooga,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-iowa-city,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-southern-maryland,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-uw-bothell,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-knoxville,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-little-rock,,,,,,,✔,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-colorado-springs,,,,,✔,,,,,✔,✔,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,✔,,✔,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-brisbane,,,,,,,✔,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,,✔,,,,
OWASP/www-chapter-melbourne,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-new-zealand,,,,,,,,,✔,✔,✔,,,,,,✔,,✔,,,,,,,,,,,,,,,,,,✔,,,✔,✔,,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-perth,,,,,,,,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-sydney,,,,,,,,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,,,,,,,✔,,,✔,✔,✔,,✔,,,,,✔,✔,,,,
OWASP/www-chapter-varanasi,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,✔,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-inland-empire,,,,,,,,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,✔,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-albany,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-richmond,,,,,,,✔,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-austin,,,,,✔,,,,,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,✔,,,,,,✔,,,✔,✔,✔,✔,✔,,✔,,,✔,✔,,,,
OWASP/www-chapter-bay-area,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,✔,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-baltimore,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-atlanta,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-boston,,,,,✔,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,✔,,✔,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-birmingham-al,,,,,,✔,,,,,,,,✔,,,✔,,,✔,,,,,,,,,,,,,,✔,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-charlotte,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,✔,✔,✔,,,,,,✔,,,,
OWASP/www-chapter-boulder,,,,,✔,,,,✔,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,✔,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-cincinnati,,,,,,,,,✔,✔,,,,,,,✔,,✔,✔,,,,,,✔,✔,,,,,,,,,,✔,,✔,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-cleveland,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,✔,,,,,,,,✔,,,,
OWASP/www-chapter-columbus,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,,,,,,,,,✔,,,,
OWASP/www-chapter-chicago,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,✔,,,,,,,,,✔,,,,
OWASP/www-chapter-dallas,,,,,,,,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-delaware,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,✔,,,,,,✔,,,,,,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-detroit,,,,,,,✔,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-denver,,,,,✔,,,,✔,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,✔,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-hartford,,,,,,,✔,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-hawaii,,,,,,,,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,✔,,,,,,✔,,,✔,,✔,✔,,,,,,,✔,,,,
OWASP/www-chapter-houston,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,✔,,,,,✔,✔,,,,
OWASP/www-chapter-indianapolis,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,✔,✔,,,✔,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-kansas-city,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,✔,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-jacksonville,,,,,,,,,,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,✔,,,,,,✔,,,,✔,✔,,,,,,,,✔,,,,
OWASP/www-chapter-long-island,,,,,✔,,,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,✔,,,,,,,✔,✔,✔,,,
OWASP/www-chapter-louisville,,,,,,✔,,,,✔,,,,✔,,,✔,,,✔,,,,,,,✔,,,,✔,,,✔,,,,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-memphis,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,,,,,✔,,,,,,✔,,✔,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-madison,,,,,,,✔,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-maine,,,,,,,,,,,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-minneapolis-st-paul,,,,,,,✔,,,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,✔,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-los-angeles,,,,,,,,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,✔,,✔,✔,,,,,✔,✔,,,,
OWASP/www-chapter-philadelphia,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-new-jersey-north,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-nashville,,,,,,,,,,✔,✔,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,✔,,,✔,,✔,,,,,✔,✔,,,,
OWASP/www-chapter-new-york-city,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,✔,✔,,✔,,,✔,✔,,,,
OWASP/www-chapter-omaha,,,,,,,,,,✔,✔,,,,,,✔,,,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-orange-county,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,✔,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-orlando,,,,,✔,,,,,✔,✔,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,✔,,✔,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-pittsburgh,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-portland,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,✔,✔,✔,,,,,✔,✔,,,,
OWASP/www-chapter-phoenix,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,,,,✔,,,,
OWASP/www-chapter-triangle-nc,,,,,,,,,✔,✔,,,,,,,✔,,✔,,,,,,,,✔,,,,✔,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-rhode-island,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-sacramento,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-rochester,,,,,,,,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,✔,,,,,,✔,,,,,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-saint-louis,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,,✔,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-san-diego,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-salt-lake-city,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,,,,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-san-antonio,,,,,,,,,✔,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,✔,,,,,,✔,,✔,,,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-surat,,,,,,,,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-abu-dhabi,,,,,✔,,,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,,,,,,,✔,,✔,,,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-israel,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-bangalore,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,✔,,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-dhaka,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,✔,✔,,,,,,,✔,✔,,,,
OWASP/www-chapter-delhi,,,,,,,,,,✔,,,,,,,✔,,,✔,,,,,,,✔,,,,,,,,,,✔,,,,,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-chennai,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,✔,✔,✔,,,,,,✔,✔,,,,
OWASP/www-chapter-iran,,,,,,,✔,,,,,,,,,,✔,,,✔,,,,,,,,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
OWASP/www-chapter-chandigarh,,,,,,,,,,✔,,,,,,,✔,,✔,✔,,,,,,,✔,,,,,,,,,,✔,,,,,,,,,,,,✔,✔,,,,
